2021-10-28
Count;Website Link;Subject;Location;Price;Area and number of rooms;Avgift;Property Type;Status
1;https://www.hemnet.se/salda/villa-5rum-rundvik-nordmalings-kommun-skolgatan-67-1457125;Skolgatan 67;Rundvik, Nordmalings kommun;Slutpris 700 000 kr;131 m²   5 rum;None;Villa;Såld 14 september 2021
2;https://www.hemnet.se/salda/villa-5rum-rundvik-nordmalings-kommun-skolgatan-1-1445882;Skolgatan 1;Rundvik, Nordmalings kommun;Slutpris 800 000 kr;131 m²   5 rum;None;Villa;Såld 30 augusti 2021
3;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-strandvagen-65-1429581;Strandvägen 65;Rundvik, Nordmalings kommun;Slutpris 710 000 kr;129 m²   4 rum;None;Villa;Såld 29 juli 2021
4;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-backvagen-4-1394842;Backvägen 4;Rundvik, Nordmalings kommun;Slutpris 795 000 kr;81 m²   4 rum;None;Villa;Såld 10 maj 2021
5;https://www.hemnet.se/salda/villa-3rum-rundvik-nordmalings-kommun-fagelvagen-9-1338167;Fågelvägen 9;Rundvik, Nordmalings kommun;Slutpris 340 000 kr;110 m²   3 rum;None;Villa;Såld 26 februari 2021
6;https://www.hemnet.se/salda/villa-5rum-rundvik-nordmalings-kommun-genvagen-7-1310079;Genvägen 7;Rundvik, Nordmalings kommun;Slutpris 190 000 kr;121 m²   5 rum;None;Villa;Såld 20 december 2020
7;https://www.hemnet.se/salda/villa-5rum-rundvik-nordmalings-kommun-postgatan-12-1274028;Postgatan 12;Rundvik, Nordmalings kommun;Slutpris 365 000 kr;114 m²   5 rum;None;Villa;Såld 20 oktober 2020
8;https://www.hemnet.se/salda/villa-3rum-rundvik-nordmalings-kommun-skolgatan-28-1261498;Skolgatan 28;Rundvik, Nordmalings kommun;Slutpris 350 000 kr;78 m²   3 rum;None;Villa;Såld 17 september 2020
9;https://www.hemnet.se/salda/villa-5rum-rundvik-nordmalings-kommun-skolgatan-67-1218770;Skolgatan 67;Rundvik, Nordmalings kommun;Slutpris 470 000 kr;131 m²   5 rum;None;Villa;Såld 12 juli 2020
10;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-parkvagen-2-1184612;Parkvägen 2;Rundvik, Nordmalings kommun;Slutpris 545 000 kr;98 m²   4 rum;None;Villa;Såld 6 maj 2020
11;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-tullvagen-9-1179705;Tullvägen 9;Rundvik, Nordmalings kommun;Slutpris 250 000 kr;120 m²   4 rum;None;Villa;Såld 2 maj 2020
12;https://www.hemnet.se/salda/villa-3rum-rundvik-nordmalings-kommun-fagelvagen-9-1122982;Fågelvägen 9;Rundvik, Nordmalings kommun;Slutpris 290 000 kr;110 m²   3 rum;None;Villa;Såld 20 december 2019
13;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-manhemsvagen-12-994688;Manhemsvägen 12;Rundvik, Nordmalings kommun;Slutpris 630 000 kr;119 m²   4 rum;None;Villa;Såld 5 april 2019
14;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-strandvagen-16-913409;Strandvägen 16;Rundvik, Nordmalings kommun;Slutpris 435 000 kr;122 m²   4 rum;None;Villa;Såld 17 oktober 2018
15;https://www.hemnet.se/salda/villa-3rum-rundvik-nordmalings-kommun-snickarvagen-7-856356;Snickarvägen 7;Rundvik, Nordmalings kommun;Slutpris 450 000 kr;82 m²   3 rum;0 kr/mån;Villa;Såld 16 juli 2018
16;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-skolgatan-42-c-713446;Skolgatan 42 C;Rundvik, Nordmalings kommun;Slutpris 370 000 kr;100 m²   4 rum;0 kr/mån;Villa;Såld 15 augusti 2017
17;https://www.hemnet.se/salda/villa-4rum-nordmalings-kommun-asgatan-7,-rundvik-623983;Åsgatan 7, Rundvik;Rundvik, Nordmalings kommun;Slutpris 315 000 kr;95 m²   4 rum;0 kr/mån;Villa;Såld 23 januari 2017
18;https://www.hemnet.se/salda/villa-3rum-nordmalings-kommun-strandvagen-20-573322;Strandvägen 20;Rundvik, Nordmalings kommun;Slutpris 375 000 kr;151 m²   3 rum;0 kr/mån;Villa;Såld 16 september 2016
19;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-fjardangsvagen-8-563530;Fjärdängsvägen 8;Rundvik, Nordmalings kommun;Slutpris 460 000 kr;95 m²   4 rum;0 kr/mån;Villa;Såld 30 augusti 2016
20;https://www.hemnet.se/salda/villa-4rum-rundvik-nordmalings-kommun-skolgatan-18-409546;Skolgatan 18;Rundvik, Nordmalings kommun;Slutpris 435 000 kr;109 m²   4 rum;0 kr/mån;Villa;Såld 3 september 2015
21;https://www.hemnet.se/salda/villa-6rum-rundvik-nordmalings-kommun-genvagen-19-380845;Genvägen 19;Rundvik, Nordmalings kommun;Slutpris 540 000 kr;201 m²   6 rum;0 kr/mån;Villa;Såld 3 juli 2015
22;https://www.hemnet.se/salda/villa-5rum-rundvik-nordmalings-kommun-fagelvagen-8-274651;Fågelvägen 8;Rundvik, Nordmalings kommun;Slutpris 196 000 kr;113 m²   5 rum;None;Villa;Såld 12 september 2013
