2021-10-28
Count;Website Link;Subject;Location;Price;Area;Number of rooms;Property Type;Status
1;https://www.hemnet.se/bostad/lagenhet-3rum-sofiehem-umea-kommun-norra-gimonasvagen-3-18003596;Norra Gimonäsvägen 3;Sofiehem, Umeå kommun;2 795 000 kr;103 m²;3 rum;          LägenhetLägenhet;For Sale
2;https://www.hemnet.se/bostad/lagenhet-4rum-haga-umea-kommun-stenmarksvagen-9a-18024076;Stenmarksvägen 9A;Haga, Umeå kommun;3 095 000 kr;89 m²;4 rum;          LägenhetLägenhet;For Sale
3;https://www.hemnet.se/nybyggnadsprojekt/tillsammans-pa-tomtebo-gard-17952516;Tillsammans på Tomtebo gård;Umeå kommun;fr. 2 000 000 kr;52–101 m²;2–5 rum;          LägenhetLägenhet;For Sale
4;https://www.hemnet.se/bostad/villa-6rum-yttersjo-umea-kommun-kronotorpsvagen-11-18020355;Kronotorpsvägen 11;Yttersjö, Umeå kommun;3 995 000 kr;166 + 35 m²;6 rum;          VillaVilla;For Sale
5;https://www.hemnet.se/bostad/villa-8rum-umedalen-umea-kommun-kavaljersvagen-20-18018055;Kavaljersvägen 20;Umedalen, Umeå kommun;6 895 000 kr;201 + 60 m²;8 rum;          VillaVilla;For Sale
6;https://www.hemnet.se/bostad/lagenhet-3rum-mariehem-umea-kommun-skarvstensgatan-50-18018196;Skärvstensgatan 50;Mariehem, Umeå kommun;2 575 000 kr;66,5 m²;3 rum;          LägenhetLägenhet;For Sale
7;https://www.hemnet.se/bostad/lagenhet-3rum-mariehem-umea-kommun-mariehemsvagen-29d-18018536;Mariehemsvägen 29D;Mariehem, Umeå kommun;1 595 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale
8;https://www.hemnet.se/bostad/lagenhet-2,5rum-mariehem-umea-kommun-mariehemsvagen-164-18019399;Mariehemsvägen 164;Mariehem, Umeå kommun;1 795 000 kr;60 m²;2,5 rum;          LägenhetLägenhet;For Sale
9;https://www.hemnet.se/bostad/lagenhet-4rum-tomtebo-umea-kommun-skogsfruvagen-11f-18017797;Skogsfruvägen 11F;Tomtebo, Umeå kommun;1 995 000 kr;74,2 m²;4 rum;          LägenhetLägenhet;For Sale
10;https://www.hemnet.se/bostad/lagenhet-2rum-teg-umea-kommun-akervagen-7-18016795;Åkervägen 7;Teg, Umeå kommun;1 745 000 kr;46 m²;2 rum;          LägenhetLägenhet;For Sale
