2021-10-28
Count;Website Link;Subject;Location;Price;Area;Number of rooms;Property Type;Status
1;https://www.hemnet.se/bostad/lagenhet-3rum-sandakern-umea-kommun-frida-aslunds-grand-1b-17957333;Frida Åslunds Gränd 1B;Sandåkern, Umeå kommun;3 100 000 kr;80,5 m²;3 rum;          LägenhetLägenhet;For Sale
2;https://www.hemnet.se/bostad/lagenhet-4rum-haga-umea-kommun-stenmarksvagen-9a-18024076;Stenmarksvägen 9A;Haga, Umeå kommun;3 095 000 kr;89 m²;4 rum;          LägenhetLägenhet;For Sale
3;https://www.hemnet.se/bostad/villa-4rum-villaryd-centrum-lycksele-kommun-arvid-franklins-vag-6-18024215;Arvid Franklins väg 6;Villaryd / Centrum, Lycksele kommun;1 700 000 kr;116 + 119 m²;4 rum;          VillaVilla;For Sale
4;https://www.hemnet.se/bostad/villa-6rum-vannas-vannas-kommun-kvartsvagen-7-18023955;Kvartsvägen 7;Vännäs, Vännäs kommun;2 890 000 kr;150 + 52 m²;6 rum;          VillaVilla;For Sale
5;https://www.hemnet.se/bostad/fritidsboende-5rum-hemavan-tarnaby-storumans-kommun-umfors-406-18003758;Umfors 406;Hemavan/Tärnaby, Storumans kommun;2 495 000 kr;68 + 13 m²;5 rum;          FritidshusFritidshus;For Sale
6;https://www.hemnet.se/bostad/villa-4rum-morobacke-skelleftea-kommun-allvadersgrand-71-18020996;Allvädersgränd 71;Moröbacke, Skellefteå kommun;3 195 000 kr;136 m²;4 rum;          VillaVilla;For Sale
7;https://www.hemnet.se/nybyggnadsprojekt/tillsammans-pa-tomtebo-gard-17952516;Tillsammans på Tomtebo gård;Umeå kommun;fr. 2 000 000 kr;52–101 m²;2–5 rum;          LägenhetLägenhet;For Sale
8;https://www.hemnet.se/bostad/villa-6rum-yttersjo-umea-kommun-kronotorpsvagen-11-18020355;Kronotorpsvägen 11;Yttersjö, Umeå kommun;3 995 000 kr;166 + 35 m²;6 rum;          VillaVilla;For Sale
9;https://www.hemnet.se/bostad/villa-6rum-skelleftea-skelleftea-kommun-gardmyrgatan-15-18019739;Gårdmyrgatan 15;Skellefteå, Skellefteå kommun;995 000 kr;156 + 78 m²;6 rum;          VillaVilla;For Sale
10;https://www.hemnet.se/bostad/villa-8rum-umedalen-umea-kommun-kavaljersvagen-20-18018055;Kavaljersvägen 20;Umedalen, Umeå kommun;6 895 000 kr;201 + 60 m²;8 rum;          VillaVilla;For Sale
11;https://www.hemnet.se/bostad/lagenhet-3rum-mariehem-umea-kommun-skarvstensgatan-50-18018196;Skärvstensgatan 50;Mariehem, Umeå kommun;2 575 000 kr;66,5 m²;3 rum;          LägenhetLägenhet;For Sale
12;https://www.hemnet.se/bostad/lagenhet-3rum-sodergard-skelleftea-kommun-norrstigen-3-18014776;Norrstigen 3;SÖDERGÅRD, Skellefteå kommun;2 500 000 kr;85,5 m²;3 rum;          LägenhetLägenhet;For Sale
13;https://www.hemnet.se/bostad/lagenhet-3rum-mariehem-umea-kommun-mariehemsvagen-29d-18018536;Mariehemsvägen 29D;Mariehem, Umeå kommun;1 595 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale
14;https://www.hemnet.se/bostad/lagenhet-3rum-boliden-skelleftea-kommun-ringen-69a-18019081;Ringen 69A;Boliden, Skellefteå kommun;190 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale
15;https://www.hemnet.se/bostad/lagenhet-2,5rum-mariehem-umea-kommun-mariehemsvagen-164-18019399;Mariehemsvägen 164;Mariehem, Umeå kommun;1 795 000 kr;60 m²;2,5 rum;          LägenhetLägenhet;For Sale
16;https://www.hemnet.se/bostad/lagenhet-4rum-tomtebo-umea-kommun-skogsfruvagen-11f-18017797;Skogsfruvägen 11F;Tomtebo, Umeå kommun;1 995 000 kr;74,2 m²;4 rum;          LägenhetLägenhet;For Sale
17;https://www.hemnet.se/bostad/villa-3rum-bygdea-robertsfors-kommun-back-41-18017316;Bäck 41;Bygdeå, Robertsfors kommun;250 000 kr;88 + 24 m²;3 rum;          VillaVilla;For Sale
18;https://www.hemnet.se/bostad/lagenhet-2rum-teg-umea-kommun-akervagen-7-18016795;Åkervägen 7;Teg, Umeå kommun;1 745 000 kr;46 m²;2 rum;          LägenhetLägenhet;For Sale
19;https://www.hemnet.se/bostad/lagenhet-1rum-alidhem-umea-kommun-biologigrand-22-18015859;Biologigränd 22;Ålidhem, Umeå kommun;1 595 000 kr;37 m²;1 rum;          LägenhetLägenhet;For Sale
20;https://www.hemnet.se/bostad/lagenhet-3rum-skelleftea-kommun-myntgatan-49-18015735;Myntgatan 49;Skellefteå, Skellefteå kommun;1 695 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale
21;https://www.hemnet.se/bostad/lagenhet-2rum-ost-pa-stan-umea-kommun-ostra-strandgatan-17d-18014517;Östra Strandgatan 17D;Öst På Stan, Umeå kommun;1 525 000 kr;40 m²;2 rum;          LägenhetLägenhet;For Sale
22;https://www.hemnet.se/bostad/lagenhet-1rum-mariehojd-umea-kommun-skarvstensgatan-28-18014615;Skärvstensgatan 28;Mariehöjd, Umeå kommun;1 895 000 kr;48 m²;1 rum;          LägenhetLägenhet;For Sale
23;https://www.hemnet.se/bostad/lagenhet-3rum-boleang-umea-kommun-bjornbarsvagen-39c-18013555;Björnbärsvägen 39C;Böleäng, Umeå kommun;2 095 000 kr;85 m²;3 rum;          LägenhetLägenhet;For Sale
24;https://www.hemnet.se/bostad/lagenhet-2rum-obacka-strand-umea-kommun-hoppets-grand-32-18011635;Hoppets gränd 32;Öbacka Strand, Umeå kommun;3 495 000 kr;62 m²;2 rum;          LägenhetLägenhet;For Sale
25;https://www.hemnet.se/bostad/lagenhet-2rum-vast-pa-stan-umea-kommun-kvarnvagen-11-18013215;Kvarnvägen 11;Väst på stan, Umeå kommun;1 995 000 kr;57 m²;2 rum;          LägenhetLägenhet;For Sale
26;https://www.hemnet.se/bostad/lagenhet-3rum-alidhem-umea-kommun-kemigrand-30-18011357;Kemigränd 30;Ålidhem, Umeå kommun;1 795 000 kr;82,5 m²;3 rum;          LägenhetLägenhet;For Sale
27;https://www.hemnet.se/bostad/villa-6rum-nordmaling-nordmalings-kommun-blomstervagen-22-18013137;Blomstervägen 22;Nordmaling, Nordmalings kommun;1 795 000 kr;119 + 56 m²;6 rum;          VillaVilla;For Sale
28;https://www.hemnet.se/bostad/lagenhet-3rum-morohojden-skelleftea-kommun-myntgatan-31-18012878;Myntgatan 31;Moröhöjden, Skellefteå kommun;1 795 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale
29;https://www.hemnet.se/bostad/lagenhet-1rum-berghem-umea-kommun-axtorpsvagen-29a-18011655;Axtorpsvägen 29A;Berghem, Umeå kommun;1 645 000 kr;44 m²;1 rum;          LägenhetLägenhet;For Sale
30;https://www.hemnet.se/bostad/lagenhet-3rum-vannas-vannas-kommun-ostra-jarnvagsgatan-30-c-18011575;Östra Järnvägsgatan 30 C;Vännäs, Vännäs kommun;645 000 kr;82 m²;3 rum;          LägenhetLägenhet;For Sale
31;https://www.hemnet.se/bostad/lagenhet-3rum-vast-pa-stan-umea-kommun-kvarnvagen-3d-18012035;Kvarnvägen 3D;Väst På Stan, Umeå kommun;5 495 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale
32;https://www.hemnet.se/bostad/lagenhet-3rum-vasterhiske-umea-kommun-kronoskogsvagen-55-18011915;Kronoskogsvägen 55;Västerhiske, Umeå kommun;1 895 000 kr;77 m²;3 rum;          LägenhetLägenhet;For Sale
33;https://www.hemnet.se/bostad/lagenhet-3rum-umea-centrum-umea-kommun-radhusesplanaden-17c-18011375;Rådhusesplanaden 17C;Umeå Centrum, Umeå kommun;2 995 000 kr;76 m²;3 rum;          LägenhetLägenhet;For Sale
34;https://www.hemnet.se/bostad/lagenhet-3rum-morohojden-skelleftea-kommun-myntgatan-5t-18011035;Myntgatan 5T;Moröhöjden, Skellefteå kommun;1 950 000 kr;77,5 m²;3 rum;          LägenhetLägenhet;For Sale
35;https://www.hemnet.se/bostad/lagenhet-2rum-mariehojd-umea-kommun-skarvstensgatan-2-18006818;Skärvstensgatan 2;Mariehöjd, Umeå kommun;1 895 000 kr;48,5 m²;2 rum;          LägenhetLägenhet;For Sale
36;https://www.hemnet.se/bostad/villa-4rum-holmsund-umea-kommun-ringvagen-14-18008556;Ringvägen 14;Holmsund, Umeå kommun;2 650 000 kr;90 + 90 m²;4 rum;          VillaVilla;For Sale
37;https://www.hemnet.se/bostad/lagenhet-2rum-morohojden-skelleftea-kommun-myntgatan-55-18008215;Myntgatan 55;MORÖHÖJDEN, Skellefteå kommun;1 100 000 kr;64 m²;2 rum;          LägenhetLägenhet;For Sale
38;https://www.hemnet.se/bostad/villa-5rum-husbondliden-lycksele-kommun-husbondliden-32-18008282;Husbondliden 32;Husbondliden, Lycksele kommun;725 000 kr;208 + 19 m²;5 rum;          VillaVilla;For Sale
39;https://www.hemnet.se/bostad/radhus-5rum-rodang-umea-kommun-taffelstraket-51-18009179;Taffelstråket 51;Rödäng, Umeå kommun;3 795 000 kr;112 + 15 m²;5 rum;          RadhusRadhus;For Sale
40;https://www.hemnet.se/bostad/lagenhet-4rum-grubbe-umea-kommun-kyrkhamnsvagen-15a-18009339;Kyrkhamnsvägen 15A;Grubbe, Umeå kommun;3 195 000 kr;84 m²;4 rum;          LägenhetLägenhet;For Sale
41;https://www.hemnet.se/bostad/lagenhet-5rum-vast-pa-stan-umea-kommun-storgatan-15b-18009357;Storgatan 15B;Väst på stan, Umeå kommun;2 795 000 kr;122 m²;5 rum;          LägenhetLägenhet;For Sale
42;https://www.hemnet.se/bostad/lagenhet-1rum-norrbacka-skelleftea-kommun-kagevagen-34d-17939656;Kågevägen 34D;Norrbacka, Skellefteå kommun;795 000 kr;30 m²;1 rum;          LägenhetLägenhet;For Sale
43;https://www.hemnet.se/bostad/lagenhet-2rum-ersboda-umea-kommun-stavgrand-27-18008317;Stävgränd 27;Ersboda, Umeå kommun;1 195 000 kr;67 m²;2 rum;          LägenhetLägenhet;For Sale
44;https://www.hemnet.se/bostad/villa-4rum-habbersliden-skelleftea-kommun-habbersliden-4-18007435;Häbbersliden 4;Häbbersliden, Skellefteå kommun;600 000 kr;104 + 18 m²;4 rum;          VillaVilla;For Sale
45;https://www.hemnet.se/bostad/villa-5rum-frostkage-kage-skelleftea-kommun-frostkage-575-18007415;Frostkåge 575;Frostkåge/ Kåge, Skellefteå kommun;2 750 000 kr;125 m²;5 rum;          VillaVilla;For Sale
46;https://www.hemnet.se/bostad/lagenhet-2rum-medle-skelleftea-kommun-skomakarvagen-15-18004293;Skomakarvägen 15;Medle, Skellefteå kommun;1 070 000 kr;70 m²;2 rum;          LägenhetLägenhet;For Sale
47;https://www.hemnet.se/bostad/lagenhet-1,5rum-haga-umea-kommun-ostra-kyrkogatan-64-18006156;Östra Kyrkogatan 64;Haga, Umeå kommun;1 995 000 kr;35 m²;1,5 rum;          LägenhetLägenhet;For Sale
48;https://www.hemnet.se/bostad/lagenhet-2rum-vannas-vannas-kommun-vintergatan-12b-18006295;Vintergatan 12B;Vännäs, Vännäs kommun;495 000 kr;47 m²;2 rum;          LägenhetLägenhet;For Sale
49;https://www.hemnet.se/bostad/lagenhet-3rum-alidhem-umea-kommun-biologigrand-51-18005498;Biologigränd 51;Ålidhem, Umeå kommun;1 850 000 kr;78 m²;3 rum;          LägenhetLägenhet;For Sale
50;https://www.hemnet.se/bostad/lagenhet-4rum-tomtebo-umea-kommun-skogsfruvagen-7c-18005416;Skogsfruvägen 7C;Tomtebo, Umeå kommun;1 995 000 kr;73,9 m²;4 rum;          LägenhetLägenhet;For Sale
51;https://www.hemnet.se/bostad/lagenhet-2rum-centralt-umea-kommun-hedlundavagen-3c-18004487;Hedlundavägen 3C;Centralt, Umeå kommun;2 195 000 kr;63 m²;2 rum;          LägenhetLägenhet;For Sale
52;https://www.hemnet.se/bostad/fritidsboende-3rum-saxnas-vilhelmina-kommun-middagskullen-42-18004526;Middagskullen 42;Saxnäs, Vilhelmina kommun;3 600 000 kr;75 + 20 m²;3 rum;          FritidshusFritidshus;For Sale
53;https://www.hemnet.se/bostad/fritidsboende-3rum-kittelfjall-vilhelmina-kommun-borkan-761-18004937;Borkan 761;Kittelfjäll, Vilhelmina kommun;1 295 000 kr;66 + 12 m²;3 rum;          FritidshusFritidshus;For Sale
54;https://www.hemnet.se/bostad/lagenhet-4rum-teg-umea-kommun-metargrand-7-18004554;Metargränd 7;Teg, Umeå kommun;3 245 000 kr;77,3 m²;4 rum;          LägenhetLägenhet;For Sale
55;https://www.hemnet.se/bostad/lagenhet-2rum-obacka-strand-umea-kommun-hoppets-grand-12-18004624;Hoppets Gränd 12;Öbacka strand, Umeå kommun;2 995 000 kr;68 m²;2 rum;          LägenhetLägenhet;For Sale
56;https://www.hemnet.se/bostad/lagenhet-3rum-umea-umea-kommun-hjaltevagen-12-18003311;Hjältevägen 12;Umeå, Umeå kommun;1 995 000 kr;74,2 m²;3 rum;          LägenhetLägenhet;For Sale
57;https://www.hemnet.se/bostad/villa-5rum-moron-skelleftea-kommun-hedgatan-18-18003821;Hedgatan 18;Morön, Skellefteå kommun;4 695 000 kr;144 + 85 m²;5 rum;          VillaVilla;For Sale
58;https://www.hemnet.se/bostad/lagenhet-2rum-skelleftehamn-skelleftea-kommun-kaptensgatan-23c-17920824;Kaptensgatan 23c;Skelleftehamn, Skellefteå kommun;800 000 kr;60 m²;2 rum;          LägenhetLägenhet;For Sale
59;https://www.hemnet.se/bostad/villa-3rum-holmsjon-umea-kommun-holmsjon-418-18002455;Holmsjön 418;Holmsjön, Umeå kommun;3 295 000 kr;80 + 10 m²;3 rum;          VillaVilla;For Sale
60;https://www.hemnet.se/bostad/lagenhet-3rum-skelleftehamn-skelleftea-kommun-sjomansgatan-12a-18002856;Sjömansgatan 12A;Skelleftehamn, Skellefteå kommun;775 000 kr;78,6 m²;3 rum;          LägenhetLägenhet;For Sale
61;https://www.hemnet.se/bostad/lagenhet-3rum-tomtebo-nydalaviken-umea-kommun-sagovagen-9-18003142;Sagovägen 9;Tomtebo/Nydalaviken, Umeå kommun;2 395 000 kr;76,5 m²;3 rum;          LägenhetLägenhet;For Sale
62;https://www.hemnet.se/bostad/lagenhet-2rum-stromsor-skelleftea-kommun-stromsorgatan-12a-18003348;Strömsörgatan 12A;Strömsör, Skellefteå kommun;1 895 000 kr;52,5 m²;2 rum;          LägenhetLägenhet;For Sale
63;https://www.hemnet.se/bostad/lagenhet-2rum-anderstorp-skelleftea-kommun-bladgatan-256-18003633;Bladgatan 256;Anderstorp, Skellefteå kommun;1 395 000 kr;70 m²;2 rum;          LägenhetLägenhet;For Sale
64;https://www.hemnet.se/bostad/lagenhet-3rum-anderstorp-skelleftea-kommun-tradgrand-5-18003667;Trädgränd 5;Anderstorp, Skellefteå kommun;1 250 000 kr;77,5 m²;3 rum;          LägenhetLägenhet;For Sale
65;https://www.hemnet.se/bostad/lagenhet-2rum-teg-umea-kommun-domarevagen-8f-18003962;Domarevägen 8F;Teg, Umeå kommun;1 695 000 kr;67 m²;2 rum;          LägenhetLägenhet;For Sale
66;https://www.hemnet.se/bostad/lagenhet-3rum-getberget-moron-skelleftea-kommun-getbergsvagen-9-18004039;Getbergsvägen 9;Getberget/Morön, Skellefteå kommun;1 495 000 kr;76 m²;3 rum;          LägenhetLägenhet;For Sale
67;https://www.hemnet.se/bostad/fritidsboende-4rum-storuman-storumans-kommun-elisabets-vag-6d-18004180;Elisabets Väg 6D;Storuman, Storumans kommun;2 495 000 kr;59 m²;4 rum;          FritidshusFritidshus;For Sale
68;https://www.hemnet.se/bostad/fritidsboende-4rum-hemavan-storumans-kommun-hostvagen-21-18004163;Höstvägen 21;Hemavan, Storumans kommun;2 495 000 kr;76 + 4 m²;4 rum;          FritidshusFritidshus;For Sale
69;https://www.hemnet.se/bostad/villa-5rum-bygdea-robertsfors-kommun-sundmarksvagen-27-18004199;Sundmarksvägen 27;Bygdeå, Robertsfors kommun;1 695 000 kr;115 + 65 m²;5 rum;          VillaVilla;For Sale
70;https://www.hemnet.se/bostad/lagenhet-3rum-sofiehem-umea-kommun-norra-gimonasvagen-3-18003596;Norra Gimonäsvägen 3;Sofiehem, Umeå kommun;2 795 000 kr;103 m²;3 rum;          LägenhetLägenhet;For Sale
