2021-11-01
Count;Subject;Location;Price;Area;Number of rooms;Property Type;Status;Website Link
1;Hjältevägen 12;Umeå, Umeå kommun;1 995 000 kr;74,2 m²;3 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-3rum-umea-umea-kommun-hjaltevagen-12-18003311
2;Paletåvägen 36;Röbäck, Umeå kommun;2 595 000 kr;123,5 m²;5 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-5rum-roback-umea-kommun-paletavagen-36-18034381
3;Rågången 8A;Berghem, Umeå kommun;1 895 000 kr;55,5 m²;2 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-2rum-berghem-umea-kommun-ragangen-8a-18032977
4;Döbelns Plan 6;Väst på stan, Umeå kommun;1 595 000 kr;50,5 m²;2 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-2rum-vast-pa-stan-umea-kommun-dobelns-plan-6-18033015
5;Ferievägen 38;Sävar, Umeå kommun;4 295 000 kr;127 + 10 m²;5 rum;          VillaVilla;For Sale;https://www.hemnet.se/bostad/villa-5rum-savar-umea-kommun-ferievagen-38-18032876
6;Kylgränd 101;Västra Ersboda, Umeå kommun;2 495 000 kr;99 m²;4 rum;          RadhusRadhus;For Sale;https://www.hemnet.se/bostad/radhus-4rum-vastra-ersboda-umea-kommun-kylgrand-101-18030617
7;Västamarken 74;Hörnefors, Umeå kommun;1 295 000 kr;110 m²;4 rum;          VillaVilla;For Sale;https://www.hemnet.se/bostad/villa-4rum-umea-kommun-vastamarken-74-18030975
8;Prästgatan 3;Väst på stan, Umeå kommun;1 895 000 kr;65 m²;2 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-2rum-vast-pa-stan-umea-kommun-prastgatan-3-18030900
9;Glassgränd 102;Ersboda, Umeå kommun;1 595 000 kr;81 m²;3 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-3rum-ersboda-umea-kommun-glassgrand-102-18029729
10;Ostnäs 211;Ostnäs, Umeå kommun;3 895 000 kr;188 m²;5 rum;          VillaVilla;For Sale;https://www.hemnet.se/bostad/villa-5rum-ostnas-umea-kommun-ostnas-211-18029547
11;Kyrkhamnsvägen 13B;Grubbe, Umeå kommun;2 995 000 kr;75 m²;3 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-3rum-grubbe-umea-kommun-kyrkhamnsvagen-13b-18030176
12;Trastvägen 1F;Mariehem, Umeå kommun;3 895 000 kr;115 + 20 m²;6 rum;          RadhusRadhus;For Sale;https://www.hemnet.se/bostad/radhus-6rum-mariehem-umea-kommun-trastvagen-1f-18026337
13;Östermalmsgatan 32C;Öst på stan, Umeå kommun;1 845 000 kr;60,5 m²;2 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-2rum-ost-pa-stan-umea-kommun-ostermalmsgatan-32c-18025675
14;Anders Ersvägen 27;Holmsund, Umeå kommun;3 395 000 kr;121 + 78 m²;7 rum;          VillaVilla;For Sale;https://www.hemnet.se/bostad/villa-7rum-holmsund-umea-kommun-anders-ersvagen-27-18028386
15;Kemigränd 25;Ålidhem, Umeå kommun;1 750 000 kr;82,5 m²;3 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-3rum-alidhem-umea-kommun-kemigrand-25-18029616
16;Utmarksvägen 3B;Umeå, Umeå kommun;1 795 000 kr;58 m²;2 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-2rum-umea-umea-kommun-utmarksvagen-3b-18029615
17;Kråkbärsvägen 1H;Böleäng/Teg, Umeå kommun;1 395 000 kr;38 m²;1 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-1rum-boleang-teg-umea-kommun-krakbarsvagen-1h-18029400
18;Mariehemsvägen 116;Mariestrand, Umeå kommun;1 800 000 kr;63,5 m²;2 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-2rum-mariestrand-umea-kommun-mariehemsvagen-116-18029495
19;Döbelns plan 6;Väst på stan, Umeå kommun;1 525 000 kr;36,5 m²;1 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-1rum-vast-pa-stan-umea-kommun-dobelns-plan-6-18028585
20;Hantverkaregatan 8;Holmsund, Umeå kommun;3 095 000 kr;110 + 68 m²;5 rum;          VillaVilla;For Sale;https://www.hemnet.se/bostad/villa-5rum-holmsund-umea-kommun-hantverkaregatan-8-17979447
21;Skymningsvägen 13;Ersmark, Umeå kommun;3 975 000 kr;138 + 36 m²;5 rum;          RadhusRadhus;For Sale;https://www.hemnet.se/bostad/radhus-5rum-ersmark-umea-kommun-skymningsvagen-13-18025496
22;Stenmarksvägen 9A;Haga, Umeå kommun;3 095 000 kr;89 m²;4 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/bostad/lagenhet-4rum-haga-umea-kommun-stenmarksvagen-9a-18024076
23;Tillsammans på Tomtebo gård;Umeå kommun;fr. 2 000 000 kr;52–101 m²;2–5 rum;          LägenhetLägenhet;For Sale;https://www.hemnet.se/nybyggnadsprojekt/tillsammans-pa-tomtebo-gard-17952516
