2021-10-31
Count;Subject;Location;Price;Area and number of rooms;Avgift;Property Type;Status;Website Link
1;Kaptensvägen 19;Sävar, Umeå kommun;Slutpris 2 800 000 kr;78 m²   3 rum;4 703 kr/mån;Lägenhet;Såld 14 oktober 2021;https://www.hemnet.se/salda/lagenhet-3rum-savar-umea-kommun-kaptensvagen-19-1477588
2;Nämndemansvägen 5;Sävar, Umeå kommun;Slutpris 2 200 000 kr;128 m²   4 rum;None;Villa;Såld 24 september 2021;https://www.hemnet.se/salda/villa-4rum-savar-umea-kommun-namndemansvagen-5-1463959
3;Violvägen 26;Sävar, Umeå kommun;Slutpris 3 150 000 kr;138 m²   5 rum;None;Villa;Såld 25 augusti 2021;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-violvagen-26-1442334
4;Tolvmansvägen 9;Sävar, Umeå kommun;Slutpris 4 715 000 kr;164 m²   6 rum;None;Villa;Såld 23 augusti 2021;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-tolvmansvagen-9-1441032
5;Tomterna 16;Tomterna/Sävar, Umeå kommun;Slutpris 2 495 000 kr;112 m²   5 rum;None;Villa;Såld 19 augusti 2021;https://www.hemnet.se/salda/villa-5rum-tomterna-savar-umea-kommun-tomterna-16-1438467
6;Hällebergsvägen 8;Sävar, Umeå kommun;Slutpris 4 860 000 kr;190 m²   7 rum;None;Villa;Såld 24 juni 2021;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-hallebergsvagen-8-1414763
7;Hällebergsvägen 27;Sävar, Umeå kommun;Slutpris 4 740 000 kr;129 m²   4 rum;None;Villa;Såld 22 juni 2021;https://www.hemnet.se/salda/villa-4rum-savar-umea-kommun-hallebergsvagen-27-1412623
8;Jullovsvägen 87;Sävar, Umeå kommun;Slutpris 2 225 000 kr;101 m²   4 rum;7 169 kr/mån;Lägenhet;Såld 8 juni 2021;https://www.hemnet.se/salda/lagenhet-4rum-savar-umea-kommun-jullovsvagen-87-1401830
9;Jullovsvägen 69;Sävar, Umeå kommun;Slutpris 730 000 kr;64 m²   2 rum;4 924 kr/mån;Lägenhet;Såld 10 maj 2021;https://www.hemnet.se/salda/lagenhet-2rum-savar-umea-kommun-jullovsvagen-69-1381245
10;Kottevägen 10;Sävar, Umeå kommun;Slutpris 4 370 000 kr;141 m²   5 rum;None;Villa;Såld 7 maj 2021;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-kottevagen-10-1380077
11;Ringvägen 16;Sävar, Umeå kommun;Slutpris 3 880 000 kr;148 m²   7 rum;None;Villa;Såld 26 mars 2021;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-ringvagen-16-1354571
12;Hällebergsvägen 14;Sävar, Umeå kommun;Slutpris 4 185 000 kr;156 m²   7 rum;None;Villa;Såld 19 januari 2021;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-hallebergsvagen-14-1316365
13;Strandvägen 24;Sävar, Umeå kommun;Slutpris 4 595 000 kr;290 m²   9 rum;None;Villa;Såld 18 december 2020;https://www.hemnet.se/salda/villa-9rum-savar-umea-kommun-strandvagen-24-1307803
14;Drottningvägen 17;Sävar, Umeå kommun;Slutpris 3 445 000 kr;152 m²   6 rum;None;Villa;Såld 14 oktober 2020;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-drottningvagen-17-1269926
15;Drottningvägen 11;Sävar, Umeå kommun;Slutpris 2 790 000 kr;174 m²   4 rum;None;Villa;Såld 14 oktober 2020;https://www.hemnet.se/salda/villa-4rum-savar-umea-kommun-drottningvagen-11-1269893
16;Ferievägen 22;Sävar, Umeå kommun;Slutpris 3 350 000 kr;162 m²   6 rum;None;Villa;Såld 21 september 2020;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-ferievagen-22-1250906
17;Kaptensvägen 21;Sävar, Umeå kommun;Slutpris 1 400 000 kr; ;None;Lägenhet;Såld 14 september 2020;https://www.hemnet.se/salda/lagenhet-umea-kommun-kaptensvagen-21-1303970
18;Kaptensvägen 11;Sävar, Umeå kommun;Slutpris 3 200 000 kr;156 m²   6 rum;None;Villa;Såld 26 augusti 2020;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-kaptensvagen-11-1237717
19;Violvägen 14;Sävar, Umeå kommun;Slutpris 3 150 000 kr;203 m²   7 rum;None;Villa;Såld 24 juli 2020;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-violvagen-14-1223516
20;Jullovsvägen 145;Sävar, Umeå kommun;Slutpris 2 745 000 kr;136 m²   5 rum;None;Villa;Såld 25 juni 2020;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-jullovsvagen-145-1209795
21;Örnstigen 12;Sävar, Umeå kommun;Slutpris 2 480 000 kr;111 m²   5 rum;None;Villa;Såld 28 maj 2020;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-ornstigen-12-1193522
22;Ringvägen 25;Sävar, Umeå kommun;Slutpris 3 760 000 kr;126 m²   9 rum;None;Villa;Såld 19 maj 2020;https://www.hemnet.se/salda/villa-9rum-savar-umea-kommun-ringvagen-25-1188182
23;Violvägen 7;Sävar, Umeå kommun;Slutpris 3 095 000 kr;138 m²   6 rum;None;Villa;Såld 7 maj 2020;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-violvagen-7-1182063
24;Granstigen 5;Sävar, Umeå kommun;Slutpris 3 325 000 kr;123 m²   4 rum;None;Villa;Såld 6 maj 2020;https://www.hemnet.se/salda/villa-4rum-savar-umea-kommun-granstigen-5-1180751
25;Majorsvägen 12;Sävar, Umeå kommun;Slutpris 3 750 000 kr;216 m²   8 rum;None;Villa;Såld 27 april 2020;https://www.hemnet.se/salda/villa-8rum-savar-umea-kommun-majorsvagen-12-1176634
26;Furuvägen 17;Sävar, Umeå kommun;Slutpris 3 095 000 kr;150 m²   5 rum;None;Villa;Såld 22 april 2020;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-furuvagen-17-1173601
27;Ängsvägen 7;Sävar, Umeå kommun;Slutpris 3 509 000 kr;123 m²   6 rum;None;Villa;Såld 16 april 2020;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-angsvagen-7-1170563
28;Lövstigen 7;Sävar, Umeå kommun;Slutpris 3 150 000 kr;110 m²   7 rum;None;Villa;Såld 17 mars 2020;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-lovstigen-7-1157874
29;Sågforsvägen 17;Sävar, Umeå kommun;Slutpris 3 226 010 kr;156 m²   5 rum;None;Villa;Såld 16 mars 2020;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-sagforsvagen-17-1157607
30;Granstigen 13;Sävar, Umeå kommun;Slutpris 2 600 000 kr;170 m²   7 rum;None;Villa;Såld 13 mars 2020;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-granstigen-13-1156400
31;Örnstigen 8;Sävar, Umeå kommun;Slutpris 2 395 000 kr;125 m²   6 rum;None;Villa;Såld 10 mars 2020;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-ornstigen-8-1154641
32;Stubbvägen 2;Sävar, Umeå kommun;Slutpris 3 500 000 kr;150 m²   7 rum;None;Villa;Såld 28 februari 2020;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-stubbvagen-2-1149136
33;Segasjön 8;Sävar, Umeå kommun;Slutpris 4 743 750 kr;118 m²  ;None;Villa;Såld 19 december 2019;https://www.hemnet.se/salda/villa-118m2-umea-kommun-segasjon-8-1122585
34;Tallstigen 13;Sävar, Umeå kommun;Slutpris 3 410 000 kr;118 m²   6 rum;None;Villa;Såld 28 november 2019;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-tallstigen-13-1114681
35;Sågforsvägen 25;Sävar, Umeå kommun;Slutpris 3 200 000 kr;123 m²   6 rum;None;Villa;Såld 2 oktober 2019;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-sagforsvagen-25-1085225
36;Strandvägen 17;Sävar, Umeå kommun;Slutpris 1 630 000 kr;115 m²   4 rum;None;Villa;Såld 26 juni 2019;https://www.hemnet.se/salda/villa-4rum-savar-umea-kommun-strandvagen-17-1037794
37;Ringvägen 16;Sävar, Umeå kommun;Slutpris 3 270 000 kr;148 m²   7 rum;None;Villa;Såld 14 juni 2019;https://www.hemnet.se/salda/villa-7rum-savar-umea-kommun-ringvagen-16-1030575
38;Planetvägen 14;Sävar, Umeå kommun;Slutpris 3 650 000 kr;165 m²   7 rum;None;Villa;Såld 13 juni 2019;https://www.hemnet.se/salda/villa-7rum-umea-kommun-planetvagen-14-1029670
39;Björkstigen 7;Sävar, Umeå kommun;Slutpris 3 020 000 kr;95 m²   4 rum;None;Villa;Såld 12 juni 2019;https://www.hemnet.se/salda/villa-4rum-savar-umea-kommun-bjorkstigen-7-1028574
40;Kaptensvägen 21;Sävar, Umeå kommun;Slutpris 1 350 000 kr;65 m²   2 rum;3 980 kr/mån;Lägenhet;Såld 9 juni 2019;https://www.hemnet.se/salda/lagenhet-2rum-savar-umea-kommun-kaptensvagen-21-1026889
41;Nämndemansvägen 17;Sävar, Umeå kommun;Slutpris 2 800 000 kr;134 m²   6 rum;None;Villa;Såld 15 maj 2019;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-namndemansvagen-17-1012199
42;Sågforsvägen 12;Sävar, Umeå kommun;Slutpris 3 900 000 kr;131 m²   6 rum;None;Villa;Såld 14 maj 2019;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-sagforsvagen-12-1011133
43;Hagvägen 3;Sävar, Umeå kommun;Slutpris 2 625 000 kr;118 m²   5 rum;None;Villa;Såld 30 april 2019;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-hagvagen-3-995998
44;Ferievägen 8;Sävar, Umeå kommun;Slutpris 3 150 000 kr;155 m²   6 rum;None;Villa;Såld 29 mars 2019;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-ferievagen-8-972997
45;Jullovsvägen 97;Sävar, Umeå kommun;Slutpris 900 000 kr;77 m²   3 rum;5 576 kr/mån;Lägenhet;Såld 14 mars 2019;https://www.hemnet.se/salda/lagenhet-3rum-savar-umea-kommun-jullovsvagen-97-971370
46;Ferievägen 24;Sävar, Umeå kommun;Slutpris 3 095 000 kr;162 m²   5 rum;0 kr/mån;Villa;Såld 6 mars 2019;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-ferievagen-24-958177
47;Solvägen 5;Sävar, Umeå kommun;Slutpris 3 925 000 kr;142 m²   6 rum;0 kr/mån;Villa;Såld 23 oktober 2018;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-solvagen-5-901890
48;Tallstigen 21;Sävar, Umeå kommun;Slutpris 2 850 000 kr;147 m²   6 rum;0 kr/mån;Villa;Såld 19 september 2018;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-tallstigen-21-883908
49;Nämndemansvägen 17;Sävar, Umeå kommun;Slutpris 2 610 000 kr;134 m²   6 rum;0 kr/mån;Villa;Såld 7 september 2018;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-namndemansvagen-17-877781
50;Jullovsvägen 95;Sävar, Umeå kommun;Slutpris 505 000 kr;77 m²   3 rum;5 576 kr/mån;Lägenhet;Såld 22 augusti 2018;https://www.hemnet.se/salda/lagenhet-3rum-savar-umea-kommun-jullovsvagen-95-876109
51;Ferievägen 31;Sävar, Umeå kommun;Slutpris 3 375 000 kr;171 m²   6 rum;0 kr/mån;Villa;Såld 13 augusti 2018;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-ferievagen-31-864329
52;Drottningvägen 17;Sävar, Umeå kommun;Slutpris 3 500 000 kr;152 m²   6 rum;0 kr/mån;Villa;Såld 20 juni 2018;https://www.hemnet.se/salda/villa-6rum-savar-umea-kommun-drottningvagen-17-846729
53;Rymdvägen 22;Sävar, Umeå kommun;Slutpris 2 882 000 kr;106 m²   5 rum;0 kr/mån;Villa;Såld 15 juni 2018;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-rymdvagen-22-845059
54;Granstigen 18;Sävar, Umeå kommun;Slutpris 3 010 000 kr;124 m²   5 rum;0 kr/mån;Villa;Såld 5 juni 2018;https://www.hemnet.se/salda/villa-5rum-savar-umea-kommun-granstigen-18-836278
